,Pseudo,Group,D01P1,D14P1,Change
3,NB1309,SHAM,2305,10460,8155
4,RC1907,SHAM,2105,10195,8090
5,EC2802,STIMSD,-610,7160,7770
6,VL1401,STIMSD,3910,15510,11600
7,CA2209,SHAM,-1525,7035,8560
8,LB0609,SHAM,5680,15670,9990
9,TB3004,SHAM,1995,10800,8805
10,TS2305,SHAM,-350,9865,10215
11,EB2307,STIMSD,-425,6010,6435
12,LL0206,STIMSD,6005,18135,12130
13,YC1703,STIMSD,4110,11340,7230
14,JM1704,SHAM,1965,10980,9015
15,ME1301,SHAM,-2725,2025,4750
16,PC2104,STIMSD,2215,7460,5245
17,AL2409,SHAM,3715,10200,6485
18,CO1106,SHAM,1860,9110,7250
19,CB2708,STIMSD,760,7855,7095
20,CJ1906,STIMSD,3060,12860,9800
21,AR1208,STIMSD,2425,8140,5715
22,BM0103,STIMSD,4690,13350,8660
23,HA2212,STIMSD,-2170,3160,5330
24,AS0808,STIMSD,5425,9950,4525
25,GF0912,STIMSD,1965,8200,6235
26,GM2504,STIMSD,820,8140,7320
27,LB2705,STIMSD,-3665,-740,2925
29,SB2903,STIMSD,-390,7190,7580
30,AC2302,SHAM,2710,18855,16145
31,HI0310,SHAM,4915,6745,1830
32,JP1711,SHAM,1370,4700,3330
33,LD2304,SHAM,-5805,540,6345
35,SF2107,SHAM,-1955,2450,4405
36,CB1706,STIMSD,6440,12170,5730
37,LV0603,STIMSD,6390,12475,6085
38,CR2709,SHAM,4530,9855,5325
39,GF1410,STIMSD,2380,4400,2020
42,SL0804,STIMSD,4580,8600,4020
43,TH0605,SHAM,4475,16650,12175
44,BS1410,SHAM,-1820,5680,7500
45,JA2904,STIMSD,4360,8890,4530
46,JT0601,SHAM,3545,19390,15845
47,LD2501,STIMHD,3110,7875,4765
48,SV2801,STIMHD,5410,18220,12810
49,MH0507,STIMHD,1645,9800,8155
50,EJ0511,STIMHD,3720,9980,6260
51,SA2706,STIMHD,-610,11450,12060
52,AF1105,STIMHD,2900,4655,1755
53,MP1112,STIMHD,815,8345,7530
54,VM3004,STIMHD,5800,16490,10690
55,CD1003,STIMHD,2110,12680,10570
56,EA0703,STIMHD,1365,8850,7485
57,VL1404,STIMHD,3590,8350,4760
58,SR1210,STIMHD,3555,13840,10285
59,LG0806,STIMHD,-3900,6775,10675
60,NF0306,STIMHD,3780,12940,9160
61,JK1002,STIMHD,3980,18790,14810
63,KM0102,STIMHD,4240,13740,9500
64,GC0511,STIMHD,2160,9645,7485
65,EV1810,STIMHD,4915,12735,7820
66,MN0802,STIMHD,3805,11540,7735
67,CP2301,STIMHD,2740,16020,13280
68,TT2010,STIMHD,4460,16890,12430
