Pseudo;Group;D01P1;D05P1;Change
NB1309;SHAM;2305;10090;7785
RC1907;SHAM;2105;10885;8780
EC2802;STIMSD;-610;5480;6090
VL1401;STIMSD;3910;16040;12130
CA2209;SHAM;-1525;5780;7305
LB0609;SHAM;5680;15620;9940
TB3004;SHAM;1995;5960;3965
TS2305;SHAM;-350;10215;10565
EB2307;STIMSD;-425;4770;5195
LL0206;STIMSD;6005;14310;8305
YC1703;STIMSD;4110;8435;4325
JM1704;SHAM;1965;8305;6340
ME1301;SHAM;-2725;740;3465
PC2104;STIMSD;2215;5445;3230
AL2409;SHAM;3715;8960;5245
CO1106;SHAM;1860;7540;5680
CB2708;STIMSD;760;7280;6520
CJ1906;STIMSD;3060;12590;9530
AR1208;STIMSD;2425;7725;5300
BM0103;STIMSD;4690;10860;6170
HA2212;STIMSD;-2170;6025;8195
AS0808;STIMSD;5425;10415;4990
GF0912;STIMSD;1965;8575;6610
GM2504;STIMSD;820;9385;8565
LB2705;STIMSD;-3665;3050;6715
SB2903;STIMSD;-390;8210;8600
AC2302;SHAM;2710;15370;12660
HI0310;SHAM;4915;13250;8335
JP1711;SHAM;1370;5475;4105
LD2304;SHAM;-5805;1710;7515
SF2107;SHAM;-1955;5640;7595
CB1706;STIMSD;6440;11195;4755
LV0603;STIMSD;6390;12875;6485
CR2709;SHAM;4530;8920;4390
GF1410;STIMSD;2380;3925;1545
SL0804;STIMSD;4580;8090;3510
TH0605;SHAM;4475;14140;9665
BS1410;SHAM;-1820;4470;6290
JA2904;STIMSD;4360;6440;2080
JT0601;SHAM;3545;15730;12185
LD2501;STIMHD;3110;8210;5100
SV2801;STIMHD;5410;12855;7445
MH0507;STIMHD;1645;7850;6205
EJ0511;STIMHD;3720;9080;5360
SA2706;STIMHD;-610;10580;11190
AF1105;STIMHD;2900;4640;1740
MP1112;STIMHD;815;6820;6005
VM3004;STIMHD;5800;16820;11020
CD1003;STIMHD;2110;11180;9070
EA0703;STIMHD;1365;9220;7855
VL1404;STIMHD;3590;7855;4265
SR1210;STIMHD;3555;10020;6465
LG0806;STIMHD;-3900;6330;10230
NF0306;STIMHD;3780;14230;10450
JK1002;STIMHD;3980;17080;13100
KM0102;STIMHD;4240;11635;7395
GC0511;STIMHD;2160;8370;6210
EV1810;STIMHD;4915;10160;5245
MN0802;STIMHD;3805;11070;7265
CP2301;STIMHD;2740;14445;11705
TT2010;STIMHD;4460;15160;10700
